,case_id,text,outcome,dissatisfaction,policy_demand,coproduction_request
0,1,我已经多次反映小区垃圾分类设施不足，希望政府尽快处理。,1,0.2071,0.3499,0.3317
1,2,这个政策解释不清楚，居民不知道应该如何申请。,0,0.1941,0.3861,0.1653
2,3,我们愿意配合街道办开展社区宣传活动。,1,0.1933,0.288,0.4626
3,4,小区垃圾桶长期满溢无人清理，夏天异味严重影响生活。,0,0.1164,0.0435,-0.0504
4,5,希望社区能增加夜间照明设施，保障居民夜间出行安全。,0,0.0223,0.2196,0.2102
5,6,我愿意参与社区组织的文明养犬宣传活动，为小区环境出一份力。,1,0.1305,0.2315,0.2876
6,7,反映的电梯故障问题已处理完毕，维修师傅态度很负责。,1,0.0453,0.1196,0.0661
7,8,楼下餐馆深夜噪音扰民，多次投诉仍未得到有效管控。,0,0.2125,0.0945,-0.0571
8,9,建议在小区增设便民服务点，方便老人日常买菜和取快递。,0,0.1402,0.3287,0.248
9,10,社区通知的垃圾分类新规表述不清，居民不知道如何执行。,0,0.1711,0.3401,0.1259
10,11,我愿意配合街道办开展人口普查工作，如实填报相关信息。,1,0.1884,0.3385,0.4205
11,12,物业对业主的维修请求回应缓慢，导致家里漏水问题持续一周。,0,0.152,0.2211,0.0114
12,13,希望政府能优化老旧小区的停车规划，缓解停车难问题。,0,0.0901,0.373,0.2583
13,14,社区组织的反诈宣讲会我每次都参加，学到了很多实用知识。,1,0.1822,0.0951,0.2397
14,15,反映的路灯故障隔天就修好了，工作人员效率很高。,1,0.0104,0.1764,0.2102
15,16,楼道堆放杂物存在消防隐患，多次提醒物业仍未清理。,0,0.0952,0.0951,0.0009
16,17,建议社区增设老年活动中心，丰富退休老人的业余生活。,0,0.123,0.2691,0.1379
17,18,我愿意参与小区的绿化维护志愿活动，定期修剪花草树木。,1,0.0126,0.2278,0.3191
18,19,自来水水质浑浊，向水务部门反映后很快就上门检测处理了。,1,-0.0146,0.088,0.0895
19,20,小区健身器材损坏严重，一直没有维修，存在安全隐患。,0,-0.0323,-0.0727,-0.249
20,21,希望出台更明确的宠物管理规定，规范养犬行为。,0,-0.0304,0.2763,0.0695
21,22,社区组织的亲子环保活动很有意义，我们全家都报名参加了。,1,0.0584,0.1456,0.2902
