,case_id,text,outcome,dissatisfaction,policy_demand,coproduction_request
0,1,我已经多次反映小区垃圾分类设施不足，希望政府尽快处理。,1,0.6143,0.9402,0.8847
1,2,这个政策解释不清楚，居民不知道应该如何申请。,0,0.563,1,0.5357
2,3,我们愿意配合街道办开展社区宣传活动。,1,0.5598,0.7535,1
3,4,小区垃圾桶长期满溢无人清理，夏天异味严重影响生活。,0,0.2553,0.0168,0.0832
4,5,希望社区能增加夜间照明设施，保障居民夜间出行安全。,0,0,0.5475,0.6298
5,6,我愿意参与社区组织的文明养犬宣传活动，为小区环境出一份力。,1,0.3112,0.5833,0.7922
6,7,反映的电梯故障问题已处理完毕，维修师傅态度很负责。,1,0,0.2462,0.3277
7,8,楼下餐馆深夜噪音扰民，多次投诉仍未得到有效管控。,0,0.6358,0.1705,0.0692
8,9,建议在小区增设便民服务点，方便老人日常买菜和取快递。,0,0.3495,0.8762,0.7092
9,10,社区通知的垃圾分类新规表述不清，居民不知道如何执行。,0,0.4718,0.9105,0.453
10,11,我愿意配合街道办开展人口普查工作，如实填报相关信息。,1,0.5403,0.9057,1
11,12,物业对业主的维修请求回应缓慢，导致家里漏水问题持续一周。,0,0.3963,0.552,0.2128
12,13,希望政府能优化老旧小区的停车规划，缓解停车难问题。,0,0.1512,1,0.7307
13,14,社区组织的反诈宣讲会我每次都参加，学到了很多实用知识。,1,0.5158,0.1723,0.6917
14,15,反映的路灯故障隔天就修好了，工作人员效率很高。,1,0,0.4173,0.6298
15,16,楼道堆放杂物存在消防隐患，多次提醒物业仍未清理。,0,0.1715,0.1723,0.1908
16,17,建议社区增设老年活动中心，丰富退休老人的业余生活。,0,0.2815,0.6967,0.4782
17,18,我愿意参与小区的绿化维护志愿活动，定期修剪花草树木。,1,0,0.5722,0.8583
18,19,自来水水质浑浊，向水务部门反映后很快就上门检测处理了。,1,0,0.1508,0.3767
19,20,小区健身器材损坏严重，一直没有维修，存在安全隐患。,0,0,0,0
20,21,希望出台更明确的宠物管理规定，规范养犬行为。,0,0,0.7183,0.3347
21,22,社区组织的亲子环保活动很有意义，我们全家都报名参加了。,1,0.0257,0.3245,0.7977
22,23,投诉的广场舞噪音问题得到了妥善解决，音量已调低至合理范围。,1,0.1333,0.6562,0.49
23,24,快递驿站设在小区出入口，高峰时段严重堵塞消防通道。,0,0,0,0.1838
24,25,建议社区建立独居老人定期探访机制，保障老人安全。,0,0.2173,0.7207,0.7032
25,26,我愿意参与社区的文明劝导志愿队，维护小区公共秩序。,1,0.7023,1,1
26,27,申请办理居住证的流程复杂，工作人员耐心给了详细指引。,1,0.9142,0.7725,0.8153
27,28,小区围墙破损未及时修缮，存在安全隐患，已多次反映。,0,0.2982,0.1642,0.0142
28,29,希望政府能增加社区医疗点的医护人员，缓解看病难问题。,0,0.7082,1,0.9925
29,30,社区组织的消防演练让居民掌握了逃生技巧，非常实用。,1,0,0,0.6053
30,31,反映的下水道堵塞问题，物业当天就安排了疏通处理。,1,0.1322,0.6273,0.3513
31,32,小区楼下工地夜间施工噪音扰民，严重影响居民休息。,0,0.5452,0.3283,0.2695
32,33,建议在小区增设无障碍通道，方便行动不便的居民出行。,0,0.3083,0.7897,0.7805
33,34,我愿意参与社区的疫情防控志愿工作，协助体温检测和登记。,1,0.5985,0.4647,0.9282
34,35,申请的低保补助已按时发放，社区工作人员服务很周到。,1,0.3045,0.5285,1
35,36,小区监控多处损坏，发生物品丢失后无法调阅录像。,0,0,0.1067,0.0918
36,37,希望社区能定期开展消防安全检查，消除楼道安全隐患。,0,0,0.4387,0.721
37,38,社区组织的垃圾分类督导活动，让小区环境变得干净整洁。,1,0,0.6623,0.764
38,39,反映的电梯停运问题，物业当天就联系了维修人员处理。,1,0.2067,0.2642,0.1857
39,40,小区周边缺少公立幼儿园，孩子入园难问题突出。,0,0.475,0.3473,0.293
40,41,建议政府优化公交线路，方便居民前往市区和地铁站。,0,0.1017,1,0.9255
41,42,我愿意参与社区的图书漂流活动，捐赠闲置书籍供大家阅读。,1,0.1492,0.1832,0.6552
42,43,反映的小区垃圾中转站异味问题，环保部门已上门检测整改。,1,0.2018,0.7863,0.477
