case_id,text,outcome
1,我已经多次反映小区垃圾分类设施不足，希望政府尽快处理。,1
2,这个政策解释不清楚，居民不知道应该如何申请。,0
3,我们愿意配合街道办开展社区宣传活动。,1
4,小区垃圾桶长期满溢无人清理，夏天异味严重影响生活。,0
5,希望社区能增加夜间照明设施，保障居民夜间出行安全。,0
6,我愿意参与社区组织的文明养犬宣传活动，为小区环境出一份力。,1
7,反映的电梯故障问题已处理完毕，维修师傅态度很负责。,1
8,楼下餐馆深夜噪音扰民，多次投诉仍未得到有效管控。,0
9,建议在小区增设便民服务点，方便老人日常买菜和取快递。,0
10,社区通知的垃圾分类新规表述不清，居民不知道如何执行。,0
11,我愿意配合街道办开展人口普查工作，如实填报相关信息。,1
12,物业对业主的维修请求回应缓慢，导致家里漏水问题持续一周。,0
13,希望政府能优化老旧小区的停车规划，缓解停车难问题。,0
14,社区组织的反诈宣讲会我每次都参加，学到了很多实用知识。,1
15,反映的路灯故障隔天就修好了，工作人员效率很高。,1
16,楼道堆放杂物存在消防隐患，多次提醒物业仍未清理。,0
17,建议社区增设老年活动中心，丰富退休老人的业余生活。,0
18,我愿意参与小区的绿化维护志愿活动，定期修剪花草树木。,1
19,自来水水质浑浊，向水务部门反映后很快就上门检测处理了。,1
20,小区健身器材损坏严重，一直没有维修，存在安全隐患。,0
21,希望出台更明确的宠物管理规定，规范养犬行为。,0
22,社区组织的亲子环保活动很有意义，我们全家都报名参加了。,1
23,投诉的广场舞噪音问题得到了妥善解决，音量已调低至合理范围。,1
24,快递驿站设在小区出入口，高峰时段严重堵塞消防通道。,0
25,建议社区建立独居老人定期探访机制，保障老人安全。,0
26,我愿意参与社区的文明劝导志愿队，维护小区公共秩序。,1
27,申请办理居住证的流程复杂，工作人员耐心给了详细指引。,1
28,小区围墙破损未及时修缮，存在安全隐患，已多次反映。,0
29,希望政府能增加社区医疗点的医护人员，缓解看病难问题。,0
30,社区组织的消防演练让居民掌握了逃生技巧，非常实用。,1
31,反映的下水道堵塞问题，物业当天就安排了疏通处理。,1
32,小区楼下工地夜间施工噪音扰民，严重影响居民休息。,0
33,建议在小区增设无障碍通道，方便行动不便的居民出行。,0
34,我愿意参与社区的疫情防控志愿工作，协助体温检测和登记。,1
35,申请的低保补助已按时发放，社区工作人员服务很周到。,1
36,小区监控多处损坏，发生物品丢失后无法调阅录像。,0
37,希望社区能定期开展消防安全检查，消除楼道安全隐患。,0
38,社区组织的垃圾分类督导活动，让小区环境变得干净整洁。,1
39,反映的电梯停运问题，物业当天就联系了维修人员处理。,1
40,小区周边缺少公立幼儿园，孩子入园难问题突出。,0
41,建议政府优化公交线路，方便居民前往市区和地铁站。,0
42,我愿意参与社区的图书漂流活动，捐赠闲置书籍供大家阅读。,1
43,反映的小区垃圾中转站异味问题，环保部门已上门检测整改。,1
44,小区楼道灯长期不亮，晚上出行很不安全，已多次反映。,0
45,希望社区能开设免费的电脑基础培训班，帮助老人学习使用智能手机。,0
46,社区组织的邻里节活动增进了居民感情，氛围很温馨。,1
47,投诉的小区内私搭乱建问题，城管部门已上门责令拆除。,1
48,小区停车位被外来车辆长期占用，业主停车难问题严重。,0
49,建议在小区增设共享雨伞点，方便居民雨天出行。,0
50,我愿意参与社区的文明养犬劝导工作，宣传文明养犬知识。,1
51,反映的自来水水压不足问题，水务部门很快就上门检修解决了。,1
52,小区物业收费不透明，公示的账目不清，业主意见很大。,0
53,希望政府能加强对小区周边餐饮油烟的治理，改善空气质量。,0
54,社区组织的应急救护培训让居民掌握了急救技能，非常实用。,1
55,反映的小区围墙倒塌问题，相关部门很快就安排了修缮工作。,1
56,小区周边缺少菜市场，居民买菜不方便，希望能增设便民市场。,0
57,建议社区建立居民意见反馈平台，方便大家反映问题和提建议。,0
58,我愿意参与社区的环境整治志愿活动，清理小区内的垃圾和小广告。,1
59,反映的小区噪音问题，城管部门多次上门劝导，现在情况有所改善。,1
60,小区内的健身场地被广场舞长期占用，其他居民无法使用。,0
61,希望社区能定期开展免费的健康体检活动，关注居民健康。,0
62,社区组织的反诈宣传活动形式新颖，让居民提高了防范意识。,1
63,反映的小区下水道反味问题，物业当天就安排了疏通处理。,1
64,小区快递柜数量不足，经常出现快递无法投递的情况。,0
65,建议政府优化老旧小区的供水管道，解决水压不足的问题。,0
66,我愿意参与社区的治安巡逻志愿工作，协助维护小区安全。,1
67,反映的小区停车乱收费问题，物价部门已上门调查并规范收费标准。,1
68,小区内的树木修剪不及时，树枝影响居民采光和出行。,0
69,希望社区能增设儿童游乐设施，为孩子们提供安全的玩耍场所。,0
70,社区组织的文明出行宣传活动，提高了居民的交通安全意识。,1
71,反映的小区垃圾清运不及时问题，环卫部门已调整清运时间。,1
72,小区周边的道路坑洼不平，雨天积水严重，影响居民出行。,0
73,建议在小区增设充电桩，方便新能源车主充电。,0
74,我愿意参与社区的图书整理志愿工作，协助维护社区图书馆秩序。,1
75,反映的小区电梯年检过期问题，市场监管部门已责令物业整改。,1
76,小区内的宠物粪便无人清理，影响小区环境和居民健康。,0
77,希望社区能开设免费的书法绘画培训班，丰富居民的文化生活。,0
78,社区组织的垃圾分类知识竞赛，让居民学习了很多分类技巧。,1
79,反映的小区噪音扰民问题，社区工作人员多次上门协调解决。,1
80,小区内的消防通道被私家车占用，存在严重的安全隐患。,0
81,建议政府加强对小区周边工地施工的监管，控制施工噪音和扬尘。,0
82,我愿意参与社区的环保宣传志愿活动，向居民普及环保知识。,1
83,反映的小区供水管道破裂问题，水务部门很快就上门维修好了。,1
84,小区内的路灯损坏严重，晚上小区漆黑一片，居民出行很不安全。,0
85,希望社区能建立宠物粪便收集点，引导居民文明养犬。,0
86,社区组织的亲子阅读活动，增进了亲子感情，也培养了孩子的阅读习惯。,1
87,反映的小区物业不作为问题，街道办已介入调查并督促整改。,1
88,小区周边缺少银行网点，居民办理业务很不方便。,0
89,建议在小区增设共享电动车停放点，方便居民短途出行。,0
90,我愿意参与社区的消防宣传志愿工作，向居民普及消防安全知识。,1
91,反映的小区垃圾分类执行不到位问题，社区已加强督导和宣传。,1
92,小区内的健身器材损坏后长期未维修，居民无法正常使用。,0
93,希望政府能优化老旧小区的供暖管道，解决冬季供暖不足的问题。,0
94,社区组织的重阳节慰问活动，让社区老人感受到了温暖。,1
95,反映的小区噪音问题，公安部门多次上门处理，现在情况已好转。,1
96,小区内的楼道卫生无人打扫，杂物堆积，环境脏乱差。,0
97,建议社区增设便民理发点，为老人提供免费或低价理发服务。,0
98,我愿意参与社区的文明交通劝导志愿工作，维护小区周边交通秩序。,1
99,反映的小区供水水质问题，卫生部门已上门检测并出具了报告。,1
100,小区内的监控盲区较多，居民的财产安全无法得到保障。,0
101,希望社区能定期开展法律知识讲座，为居民普及法律常识。,0
102,社区组织的植树节活动，让居民参与小区绿化建设，改善环境。,1
103,反映的小区电梯故障问题，物业很快就联系了维修人员处理好了。,1
104,小区周边的公交线路班次太少，居民出行不方便。,0
105,建议在小区增设快递代收点，解决快递投递难题。,0
106,我愿意参与社区的疫情防控宣传志愿工作，向居民普及防疫知识。,1
